Dates,Predictions,Actual
2018-03-22,1025.1306192316115,1053.1500244140623
2018-03-23,1035.7481061853468,1026.550048828125
2018-03-26,1047.8315069116652,1054.0899658203123
2018-03-27,1048.2463030852377,1006.9400024414062
2018-03-28,1048.1378127969801,1005.1799926757812
2018-03-29,1056.0208756364882,1037.1400146484377
2018-04-02,1057.486413065344,1012.6300048828124
2018-04-03,1066.5638943351805,1018.6799926757812
2018-04-04,1068.9983840622008,1029.7099609375
2018-04-05,1070.1601203121245,1032.6400146484377
2018-04-06,1077.1093605197966,1009.9500122070312
2018-04-09,1081.8486998714507,1020.0900268554688
2018-04-10,1081.767857287079,1036.5
2018-04-11,1076.5826065279543,1025.06005859375
2018-04-12,1076.2674192227423,1037.2900390625
2018-04-13,1079.8630920685828,1036.0400390625
2018-04-16,1089.7411056794226,1046.0999755859377
